시스템,대분류,단계,시간(분),화면/탭,메뉴/버튼,액션,시연 포인트,발표 멘트
결함분석시스템,품질 대시보드,15-1,1,4. 품질 대시보드,종합 대시보드 생성,버튼 클릭,"- 6가지 차트 동시 표시
- 불량 유형별 분포 (파이 차트)
- 심각도별 불량 분포
- 설비별 불량률 TOP 10
- 고객사별 품질 현황
- 라인별 생산 실적
- KPI 요약",종합 품질 대시보드를 생성합니다.
결함분석시스템,품질 대시보드,15-2,0.5,4. 품질 대시보드,개별 차트,버튼 클릭,"- 불량 유형 분포
- 설비별 불량률
- 고객사별 품질",개별 차트를 상세하게 확인할 수 있습니다.
결함분석시스템,GraphRAG 관리,16-1,1,5. GraphRAG 관리,지식 베이스 초기화,버튼 클릭,"- Neo4j 연결
- 지식 그래프 준비",지식 그래프 데이터베이스를 초기화합니다.
결함분석시스템,GraphRAG 관리,16-2,1,5. GraphRAG 관리,노드/관계 조회,버튼 클릭,"- 결함/원인/조치 노드
- 관계 정보 조회",지식 그래프의 노드와 관계를 조회합니다.
결함분석시스템,GraphRAG 관리,16-3,1,5. GraphRAG 관리,데이터 업로드,버튼 클릭,"- 엑셀 템플릿 업로드
- 지식 그래프 구축",새로운 데이터를 지식 그래프에 추가합니다.
결함분석시스템,그래프 시각화,17-1,1,6. 그래프 시각화,전체 그래프 생성,버튼 클릭,"- 지식 그래프 시각화
- 노드/관계 네트워크 표시",전체 지식 그래프를 시각화합니다.
결함분석시스템,그래프 시각화,17-2,1,6. 그래프 시각화,서브그래프 생성,버튼 클릭,"- 특정 결함 유형 선택
- 관련 노드만 표시",특정 결함 유형에 대한 서브그래프를 생성합니다.
결함분석시스템,목업 데이터,18-1,1,7. 목업 데이터,데이터 생성,버튼 클릭,"- 테스트용 목업 데이터 생성
- 품질/제조/설비 데이터",시연용 목업 데이터를 생성합니다.
결함분석시스템,시스템 정보,19-1,1,8. 시스템 정보,시스템 상태 확인,화면 확인,"- 서버 URL 정보
- 시스템 구성 정보
- 버전 정보",시스템 구성 정보를 확인합니다.
결함분석시스템,시스템 연동,20-1,0.5,헤더,고객품질분석시스템,버튼 클릭,"- localhost:3000 복귀
- 양방향 시스템 연동",다시 품질분석 Chatbot으로 돌아갑니다.
